city,date,tavg,tmin,tmax,prcp,aqi,co,no,no2,o3,so2,pm2_5,pm10,nh3
Banglore,12-07-2021,21.7,,,0.3,1,263.69,0.99,2.68,0.18,0.33,6.36,6.65,0.42
Banglore,13-07-2021,20.3,18.7,22.2,4.1,1,263.69,0.05,1.84,1.02,0.4,4.11,4.7,0.4
Banglore,14-07-2021,21.4,,23.5,7.6,1,220.3,0.01,1.44,5.72,0.38,1.59,1.86,0.31
Banglore,15-07-2021,21.4,19.3,25.5,0.5,1,320.44,0.27,3.13,1.52,0.62,9.73,13.58,0.61
Banglore,16-07-2021,22.3,19.4,26.2,0,1,257.02,0.18,3.34,1.88,0.41,5.55,6.21,0.4
Banglore,17-07-2021,22.4,19.5,27,0,1,247,0.08,2.14,1.42,0.51,5.3,6.33,0.59
Banglore,18-07-2021,22.4,19,27.2,0,1,257.02,0.04,1.84,1.86,0.51,7.36,8.17,0.89
Banglore,19-07-2021,22.7,19.4,26.5,,1,230.31,0.01,1.67,3.17,0.69,3.14,3.73,0.4
Banglore,20-07-2021,22.2,20,26.8,0,1,247,0.01,1.97,4.07,0.41,4.05,4.92,0.46
Banglore,21-07-2021,22.3,19.4,26.5,,1,260.35,0.01,1.95,4.96,0.48,5.2,6.11,0.46
Banglore,22-07-2021,22.8,20,27.5,0,1,323.77,0.05,4.11,1.65,0.74,7,7.58,0.71
Banglore,23-07-2021,23.6,19.9,28,0,1,303.75,2.54,4.76,0.03,1.76,9.37,11.79,4.37
Banglore,24-07-2021,24.2,20.2,29.2,,1,240.33,0.45,1.97,0.49,0.53,5.45,9.06,1.03
Banglore,25-07-2021,23.2,20,29.4,,1,210.29,0.01,1.24,6.62,0.3,2.62,3.62,0.38
Banglore,26-07-2021,22.3,20.2,25.7,,1,220.3,0.04,1.37,3.22,0.37,4.38,6.1,0.56
Banglore,27-07-2021,22.4,19.6,28.5,,2,310.42,0.06,2.42,1.52,0.57,10.5,11.26,0.61
Banglore,28-07-2021,22.3,20,27.3,,1,253.68,0.04,2.91,2.71,0.31,3.4,4.51,0.28
